scorecard_rank,amfi_code,scheme_name,fund_house,category,plan,cagr_3yr_pct,sharpe_ratio_calc,sortino_ratio_calc,alpha_calc,max_drawdown_pct_calc,expense_ratio_pct,scorecard_100,rank_cagr3,rank_sharpe,rank_alpha,rank_expense,rank_drawdown
1,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,31.77,0.8833,1.2858,29.2636,-18.19,1.36,85.12,90.0,92.5,95.0,65.0,62.5
2,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,35.1,0.7305,1.0553,26.0767,-20.96,1.38,82.0,100.0,80.0,80.0,60.0,70.0
3,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,32.43,0.8083,1.1442,27.1954,-16.22,1.38,80.5,92.5,85.0,87.5,60.0,50.0
4,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,33.99,1.0682,1.4907,26.9838,-11.27,1.46,80.0,97.5,100.0,85.0,45.0,20.0
5,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,29.58,0.9656,1.4795,27.3305,-12.97,1.45,78.25,85.0,97.5,90.0,47.5,32.5
6,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,26.66,0.7117,1.0673,30.337,-28.71,1.43,75.75,72.5,70.0,100.0,50.0,90.0
7,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,26.99,0.7144,1.031,30.0579,-31.17,1.52,75.56,77.5,72.5,97.5,36.25,92.5
8,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,32.48,0.7147,1.064,21.1948,-12.59,0.8,75.12,95.0,75.0,70.0,72.5,30.0
9,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,29.17,0.919,1.3528,28.2704,-16.4,1.6,73.94,82.5,95.0,92.5,11.25,52.5
10,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,30.45,0.861,1.2915,23.201,-15.01,1.54,72.44,87.5,90.0,77.5,26.25,42.5
11,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,22.65,0.7589,1.0989,21.8294,-17.41,1.51,67.81,67.5,82.5,75.0,41.25,57.49999999999999
12,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,26.86,0.8329,1.1678,26.5986,-17.25,1.61,67.5,75.0,87.5,82.5,7.5,55.00000000000001
13,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,28.96,0.7174,1.0639,21.3998,-11.29,1.6,61.81,80.0,77.5,72.5,11.25,22.5
14,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,21.08,0.3888,0.5886,15.6438,-18.63,0.72,61.31,65.0,50.0,47.5,88.75,65.0
15,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,16.26,0.6482,0.9266,19.8686,-11.8,0.66,60.0,45.0,67.5,65.0,92.5,27.500000000000004
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,18.43,0.5063,0.7348,17.7298,-15.2,0.92,58.0,55.00000000000001,57.49999999999999,62.5,67.5,45.0
17,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,18.42,0.4046,0.5781,16.2539,-19.83,1.41,55.0,52.5,55.00000000000001,52.5,55.00000000000001,67.5
18,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,20.81,-0.0471,-0.0679,8.2328,-21.75,0.75,53.5,62.5,32.5,32.5,82.5,77.5
19,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,20.0,0.3932,0.5694,15.1364,-11.65,0.89,53.12,60.0,52.5,45.0,70.0,25.0
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,14.74,0.6407,0.9558,20.873,-15.27,1.52,52.69,42.5,65.0,67.5,36.25,47.5
21,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,25.55,0.3846,0.5719,16.2113,-21.54,1.64,50.94,70.0,47.5,50.0,3.75,75.0
22,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,13.97,0.5166,0.7329,17.7033,-13.9,1.42,50.38,40.0,60.0,60.0,52.5,35.0
23,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,19.66,0.5198,0.773,17.0488,-10.86,1.57,48.25,57.49999999999999,62.5,55.00000000000001,17.5,17.5
24,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,11.24,0.1348,0.1929,11.9891,-21.12,0.78,47.0,37.5,37.5,37.5,77.5,72.5
25,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,8.01,0.2923,0.4113,17.5007,-23.34,1.53,45.94,35.0,45.0,57.49999999999999,31.25,80.0
26,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,18.04,0.2397,0.333,13.1732,-14.84,1.54,41.44,50.0,40.0,42.5,26.25,40.0
27,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,17.26,0.2551,0.3766,13.0429,-17.57,1.59,41.12,47.5,42.5,40.0,15.0,60.0
28,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,7.75,-0.0582,-0.0807,7.8044,-24.0,1.56,34.5,32.5,30.0,30.0,20.0,82.5
29,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,-1.34,-0.1362,-0.19,4.8824,-52.57,0.72,34.31,7.5,25.0,12.5,88.75,100.0
30,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,-4.15,0.0526,0.0757,10.8971,-35.45,1.53,31.44,5.0,35.0,35.0,31.25,95.0
31,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,7.39,-3.6502,-7.2082,6.7462,-0.1,0.74,28.88,30.0,7.5,25.0,85.0,2.5
32,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,6.69,-4.0003,-7.768,6.4557,-0.12,0.6,28.75,27.500000000000004,5.0,22.5,95.0,5.0
33,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,4.06,-0.8506,-1.2383,5.0748,-8.32,0.55,28.62,20.0,12.5,15.0,100.0,15.0
34,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,5.84,-0.7431,-1.0459,5.6209,-4.33,0.77,27.25,22.5,15.0,17.5,80.0,12.5
35,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,-11.7,-0.1517,-0.2163,4.8016,-51.68,1.38,27.12,2.5,22.5,10.0,60.0,97.5
36,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,3.92,-1.0399,-1.4612,4.2818,-4.31,0.56,24.88,17.5,10.0,7.5,97.5,10.0
37,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,6.31,-4.6504,-8.7417,6.0861,-0.16,0.79,24.12,25.0,2.5,20.0,75.0,7.5
38,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,-0.77,-0.2949,-0.4206,2.8969,-28.0,1.51,23.44,10.0,20.0,2.5,41.25,87.5
