amfi_code,hhi,concentration,top_sector,top_sector_wt_pct,n_sectors,scheme_name
119092,2967.7,Highly Concentrated,IT,48.69,7,Axis Bluechip Fund - Regular -
148569,2549.9,Highly Concentrated,Banking,39.82,7,Mirae Asset Tax Saver Fund - R
125498,2531.6,Highly Concentrated,Banking,41.2,6,HDFC Mid-Cap Opportunities Fun
102887,2513.8,Highly Concentrated,Pharma,39.04,6,UTI Flexi Cap Fund - Regular -
149323,2410.8,Moderately Concentrated,Pharma,41.34,7,DSP Midcap Fund - Regular - Gr
120505,2387.0,Moderately Concentrated,Pharma,40.75,7,ICICI Pru Midcap Fund - Regula
118635,2375.0,Moderately Concentrated,IT,39.35,6,Nippon India ETF Nifty 50 BeES
119599,2323.6,Moderately Concentrated,Banking,34.08,7,SBI Small Cap Fund - Direct Pl
120506,2314.6,Moderately Concentrated,Banking,30.4,7,ICICI Pru Value Discovery Fund
100033,2276.5,Moderately Concentrated,Banking,35.97,7,HDFC Mid-Cap Opportunities Fun
119552,2275.1,Moderately Concentrated,Automobile,32.48,7,SBI Bluechip Fund - Direct Pla
101207,2227.3,Moderately Concentrated,Pharma,35.07,6,ABSL Small Cap Fund - Regular 
120504,2212.1,Moderately Concentrated,Banking,35.61,8,ICICI Pru Bluechip Fund - Dire
118633,2212.0,Moderately Concentrated,Banking,34.18,7,Nippon India Large Cap Fund - 
148568,2180.9,Moderately Concentrated,Banking,33.8,6,Mirae Asset Emerging Bluechip 
120841,2158.9,Moderately Concentrated,Pharma,27.46,7,Kotak Bluechip Fund - Regular 
118632,2072.6,Moderately Concentrated,Telecom,30.44,6,Nippon India Large Cap Fund - 
148567,2012.5,Moderately Concentrated,Banking,30.78,6,Mirae Asset Large Cap Fund - R
149324,1887.0,Moderately Concentrated,Pharma,32.52,9,DSP Small Cap Fund - Regular -
119598,1880.8,Moderately Concentrated,IT,31.84,7,SBI Small Cap Fund - Regular P
119093,1842.3,Moderately Concentrated,IT,26.67,8,Axis Bluechip Fund - Direct - 
149322,1827.0,Moderately Concentrated,Banking,28.64,7,DSP Top 100 Equity Fund - Regu
120503,1821.7,Moderately Concentrated,FMCG,30.67,7,ICICI Pru Bluechip Fund - Regu
102885,1807.1,Moderately Concentrated,Utilities,28.95,8,UTI Nifty 50 Index Fund - Regu
100016,1805.9,Moderately Concentrated,IT,25.9,8,HDFC Top 100 Fund - Regular Pl
101206,1800.4,Moderately Concentrated,Banking,25.09,7,ABSL Frontline Equity Fund - R
119094,1751.0,Moderately Concentrated,FMCG,23.17,6,Axis Midcap Fund - Regular - G
125497,1724.1,Moderately Concentrated,IT,26.92,7,HDFC Top 100 Fund - Direct Pla
120842,1620.6,Moderately Concentrated,Automobile,26.66,8,Kotak Emerging Equity Fund - R
118634,1603.0,Moderately Concentrated,FMCG,25.23,8,Nippon India Small Cap Fund - 
119095,1595.8,Moderately Concentrated,IT,24.25,8,Axis Small Cap Fund - Regular 
119551,1424.9,Diversified,Utilities,21.33,8,SBI Bluechip Fund - Regular Pl
120843,1362.1,Diversified,Utilities,19.94,9,Kotak Flexicap Fund - Regular 
102886,1240.2,Diversified,Consumer Goods,18.99,10,UTI Mid Cap Fund - Regular - G
