amfi_code,var_95_pct,cvar_95_pct,daily_std_pct,min_daily_ret_pct,max_daily_ret_pct,n_obs,tail_obs,scheme_name,fund_house,category,plan,risk_category
101207,-2.3915,-3.0289,1.3741,-5.1847,5.4851,1607,81,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,Very High
119095,-2.3284,-2.969,1.3351,-4.8367,4.311,1607,81,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,Very High
119599,-2.3155,-3.0163,1.3289,-4.5429,5.332,1607,81,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,Very High
118634,-2.281,-2.994,1.3447,-5.8102,5.9304,1607,81,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,Very High
149324,-2.152,-2.8573,1.3241,-4.887,4.849,1607,81,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,Very High
119598,-2.1502,-2.8444,1.3401,-4.518,6.4713,1607,81,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,Very High
119094,-1.6997,-2.2375,1.0347,-4.0755,4.1591,1607,81,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,High
120842,-1.695,-2.1251,0.9532,-4.0323,3.7734,1607,81,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,High
100033,-1.6902,-2.185,1.0097,-4.4238,4.1954,1607,81,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,High
102886,-1.6857,-2.1771,0.9659,-3.6695,4.0745,1607,81,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,High
125498,-1.6762,-2.1484,0.9777,-4.5218,3.6193,1607,81,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,High
120505,-1.6224,-2.2363,1.0288,-3.8418,4.0812,1607,81,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,High
149323,-1.5866,-2.0903,0.9464,-3.0092,4.1995,1607,81,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,High
